name,province,approx_capacity_hm3,sub_basin
Iznájar,Córdoba,981,Genil
La Breña II,Córdoba,823,Guadiato
Negratín,Granada,567,Guadiana Menor
Tranco de Beas,Jaén,498,Guadalquivir (main stem)
Giribaile,Jaén,475,Guadalimar
Guadalmena,Jaén,346,Guadalmena
Bembézar,Córdoba,343,Bembézar
Jándula,Jaén,322,Jándula
Puente Nuevo,Córdoba,282,Guadiato
Fernandina,Jaén,245,Guadalén
Yeguas,Jaén,227,Yeguas
El Pintado,Sevilla,208,Viar
Melonares,Sevilla,186,Viar
Zufre,Huelva,175,Rivera de Huelva
Guadalén,Jaén,162,Guadalén
San Rafael de Navallana,Córdoba,146,Guadalmellato
Guadalmellato,Córdoba,146,Guadalmellato
Huesna,Sevilla,135,Huesna
Aracena,Huelva,127,Rivera de Huelva
Rumblar,Jaén,126,Rumblar
José Torán,Sevilla,113,Guadiamar
Bermejales,Granada,103,Cacín
Canales,Granada,71,Genil
Cala,Sevilla,58,Cala
Minilla,Sevilla,58,Rivera de Huelva
Torre del Águila,Sevilla,50,Salado
Sierra Boyera,Córdoba,40,Guadiato
Colomera,Granada,40,Genil
Gergal,Sevilla,35,Rivera de Huelva
Cordobilla,Córdoba,33,Genil
Doña Aldonza,Jaén,22,Guadalquivir (main stem)
Cubillas,Granada,18,Genil
Pedro Marín,Jaén,15,Guadalquivir (main stem)
Quéntar,Granada,13,Genil
Encinarejo,Jaén,8,Yeguas
